Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Weight,Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,aston martin,ASX,Aston Martin,DB11,500TT5148,0,5.2,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,HASX10045047,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0247,0.418,466.87,0.0249,,0.0076,0.0045,18.8,MPG,17.839,17.985,21.635,,-2.53,-1.73,-1.71,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11,500TT5148,0,5.2,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,HASX10045048,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.001155,0.067334,285,0.011,,,,30.9,MPG,,,,,1.36,0.44,-0.59,40.94,0.0169,0.0271,6.81,0.0807,0.0245,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,JASX10050824,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0265,0.07,386.66,0.029,,0.0054,0.0064,22.7,MPG,22.7357,21.7727,24.8773,,-11.99,-9.26,-7.71,40.94,0.0169,0.0271,11.26,0.0919,0.0251,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.7,22.2,1,Not eqipped,JASX10050825,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005,0.03,259.74,0.002,,,,33.8,MPG,,,,,-3.64,-3.21,-0.96,40.94,0.0169,0.0271,11.26,0.0919,0.0251,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269,0.5,511.93,0.009,,0.0066,,17.3,MPG,17.438,15.956,20.413,,99.99,99.99,99.99,32.66,0.6085,0.0198,1.093,2.198,0.028,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008,0.06,296.63,0.001,,,,29.9,MPG,,,,,99.99,99.99,99.99,32.66,0.6085,0.0198,1.093,2.198,0.028,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032317,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0293,0.335,536.18,0.0141,,0.0048,,16.5,MPG,16.778,15.195,19.519,,99.99,99.99,99.99,43.17,0.7502,0.0163,4.81,0.894,0.014,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032318,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005,0.03758,309.22,0.00179,,,,28.7,MPG,,,,,99.99,99.99,99.99,43.17,0.7502,0.0163,4.81,0.894,0.014,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022242,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0143,0.191,510,0.0463,0.048,0.0059,,17.4,MPG,10.3,21.7,,,,,,54.853,0.04883,0.022116,7.614,-0.0083,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022243,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0711,0.768,625,0.042,0.004,0.0235,,14.2,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.0083,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
